,location,region,lat,lon,prediction,count,percentage
0,`ajlun-20-jo,asia/amman,32.33385,35.75238,0.0,161,91.48
1,`ajlun-20-jo,asia/amman,32.33385,35.75238,1.0,15,8.52
2,`ajman-02-ae,asia/dubai,25.41111,55.43504,0.0,314,72.52
3,`ajman-02-ae,asia/dubai,25.41111,55.43504,1.0,119,27.48
4,`ar`ar-15-sa,asia/riyadh,30.97531,41.03808,0.0,70,59.32
5,`ar`ar-15-sa,asia/riyadh,30.97531,41.03808,1.0,48,40.68
6,`ibri-09-om,asia/muscat,23.22573,56.51572,0.0,6,50.0
7,`ibri-09-om,asia/muscat,23.22573,56.51572,1.0,6,50.0
8,a coruna-58c-es,europe/madrid,43.37135,-8.396,0.0,175,76.09
9,a coruna-58c-es,europe/madrid,43.37135,-8.396,1.0,55,23.91
10,aachen-07053-de,europe/berlin,50.77664,6.08342,0.0,138,81.18
11,aachen-07053-de,europe/berlin,50.77664,6.08342,1.0,32,18.82
12,aalborg-19851-dk,europe/copenhagen,57.048,9.9187,0.0,25,80.65
13,aalborg-19851-dk,europe/copenhagen,57.048,9.9187,1.0,6,19.35
14,aba-45-ng,africa/lagos,5.10658,7.36667,0.0,5,55.56
15,aba-45-ng,africa/lagos,5.10658,7.36667,1.0,4,44.44
16,abadan-15-ir,asia/tehran,30.3392,48.3043,0.0,6,85.71
17,abadan-15-ir,asia/tehran,30.3392,48.3043,1.0,1,14.29
18,abaetetuba-16-br,america/belem,-1.71806,-48.8825,0.0,6,100.0
19,abakaliki-53-ng,africa/lagos,6.31625,8.11691,0.0,36,76.6
20,abakaliki-53-ng,africa/lagos,6.31625,8.11691,1.0,11,23.4
21,abakan-31-ru,asia/krasnoyarsk,53.71556,91.42917,0.0,2,50.0
22,abakan-31-ru,asia/krasnoyarsk,53.71556,91.42917,1.0,2,50.0
23,abbotsford-02-ca,america/vancouver,49.05798,-122.25257,0.0,479,81.05
24,abbotsford-02-ca,america/vancouver,49.05798,-122.25257,1.0,112,18.95
25,abbottabad-03-pk,asia/karachi,34.14685,73.21449,0.0,15,68.18
26,abbottabad-03-pk,asia/karachi,34.14685,73.21449,1.0,7,31.82
27,abeokuta-16-ng,africa/lagos,7.15,3.35,0.0,59,74.68
28,abeokuta-16-ng,africa/lagos,7.15,3.35,1.0,20,25.32
29,aberdeen-sctt5-gb,europe/london,57.14369,-2.09814,0.0,268,80.97
30,aberdeen-sctt5-gb,europe/london,57.14369,-2.09814,1.0,63,19.03
31,abha-11-sa,asia/riyadh,18.21639,42.50528,0.0,1452,31.1
