,location,region,country,lat,lon,prediction,emotion,emotion_value
0,`ajlun-20-jo,asia/amman,Jordan,32.33385,35.75238,0.0,anger,0.1574716447892219
1,`ajlun-20-jo,asia/amman,Jordan,32.33385,35.75238,0.0,disgust,0.0137075837577209
2,`ajlun-20-jo,asia/amman,Jordan,32.33385,35.75238,0.0,fear,0.562638149806467
3,`ajlun-20-jo,asia/amman,Jordan,32.33385,35.75238,0.0,joy,0.1083866634545578
4,`ajlun-20-jo,asia/amman,Jordan,32.33385,35.75238,0.0,neutral,0.1086241264442231
5,`ajlun-20-jo,asia/amman,Jordan,32.33385,35.75238,0.0,sadness,0.0325282363520547
6,`ajlun-20-jo,asia/amman,Jordan,32.33385,35.75238,0.0,surprise,0.0166435879352663
7,`ajlun-20-jo,asia/amman,Jordan,32.33385,35.75238,1.0,anger,0.1384385819526182
8,`ajlun-20-jo,asia/amman,Jordan,32.33385,35.75238,1.0,disgust,0.0163085279503784
9,`ajlun-20-jo,asia/amman,Jordan,32.33385,35.75238,1.0,fear,0.5254955059248541
10,`ajlun-20-jo,asia/amman,Jordan,32.33385,35.75238,1.0,joy,0.0585504163475706
11,`ajlun-20-jo,asia/amman,Jordan,32.33385,35.75238,1.0,neutral,0.2079786045223267
12,`ajlun-20-jo,asia/amman,Jordan,32.33385,35.75238,1.0,sadness,0.0348088143662445
13,`ajlun-20-jo,asia/amman,Jordan,32.33385,35.75238,1.0,surprise,0.018419537059704
14,`ajman-02-ae,asia/dubai,United Arab Emirates,25.41111,55.43504,0.0,anger,0.1158009856919947
15,`ajman-02-ae,asia/dubai,United Arab Emirates,25.41111,55.43504,0.0,disgust,0.0047424301924826
16,`ajman-02-ae,asia/dubai,United Arab Emirates,25.41111,55.43504,0.0,fear,0.6727560768820128
17,`ajman-02-ae,asia/dubai,United Arab Emirates,25.41111,55.43504,0.0,joy,0.0643385524981088
18,`ajman-02-ae,asia/dubai,United Arab Emirates,25.41111,55.43504,0.0,neutral,0.088702371475058
19,`ajman-02-ae,asia/dubai,United Arab Emirates,25.41111,55.43504,0.0,sadness,0.0319530958887991
20,`ajman-02-ae,asia/dubai,United Arab Emirates,25.41111,55.43504,0.0,surprise,0.0217064845121394
21,`ajman-02-ae,asia/dubai,United Arab Emirates,25.41111,55.43504,1.0,anger,0.1370265607394091
22,`ajman-02-ae,asia/dubai,United Arab Emirates,25.41111,55.43504,1.0,disgust,0.0082452370643934
23,`ajman-02-ae,asia/dubai,United Arab Emirates,25.41111,55.43504,1.0,fear,0.5937746846418741
24,`ajman-02-ae,asia/dubai,United Arab Emirates,25.41111,55.43504,1.0,joy,0.0669829051477424
25,`ajman-02-ae,asia/dubai,United Arab Emirates,25.41111,55.43504,1.0,neutral,0.1439621926173901
